metal_label,event_role,event_trading_date,pre_n,post_n,observed_delta_spread,null_count,empirical_two_sided_p,empirical_signed_percentile,bh_q_18_tests
Copper,covered_target,2024-04-15,5,5,25.90000000000001,4543,0.0726232394366197,0.965001100594321,0.19513759702354225
Lead,noncovered_control,2024-04-15,5,5,1.6000000000000014,4463,0.7654569892473119,0.6094555231906789,0.9185483870967742
Nickel,covered_target,2024-04-15,5,5,10.0,4448,0.6059788716565521,0.7034622302158273,0.8390476684475335
Primary Aluminium,covered_target,2024-04-15,5,5,43.8,4463,0.0038082437275985,0.998879677347076,0.068548387096773
Special High Grade Zinc,noncovered_control,2024-04-15,5,5,14.000000000000002,4463,0.1214157706093189,0.936813802375084,0.24283154121863781
Tin,noncovered_control,2024-04-15,5,5,182.0,4463,0.0730286738351254,0.9686309657181268,0.19513759702354225
Copper,covered_target,2024-04-15,10,10,13.099999999999994,4533,0.2679752977503308,0.8524156187954997,0.4385050326823595
Lead,noncovered_control,2024-04-15,10,10,0.0499999999999971,4453,0.9966322406825324,0.4983157421962721,0.9966322406825324
Nickel,covered_target,2024-04-15,10,10,-4.0,4443,0.8213321332133213,0.3889264010803511,0.9239986498649865
Primary Aluminium,covered_target,2024-04-15,10,10,36.3,4453,0.0130220026942074,0.9964069166853806,0.1171980242478666
Special High Grade Zinc,noncovered_control,2024-04-15,10,10,21.9,4453,0.0956443646160754,0.9510442398383112,0.21519982038616964
Tin,noncovered_control,2024-04-15,10,10,191.0,4453,0.0758868432869331,0.9699079272400628,0.19513759702354225
Copper,covered_target,2024-04-15,20,20,1.8500000000000083,4513,0.8808152414709792,0.555949479282074,0.932627902733978
Lead,noncovered_control,2024-04-15,20,20,-3.049999999999997,4433,0.6977898060442039,0.3552898714189036,0.8971583220568337
Nickel,covered_target,2024-04-15,20,20,15.25,4433,0.4077582318448353,0.7845702684412362,0.6116373477672529
Primary Aluminium,covered_target,2024-04-15,20,20,24.975,4433,0.072169598556608,0.9645838032934808,0.19513759702354225
Special High Grade Zinc,noncovered_control,2024-04-15,20,20,21.175,4433,0.153360396932792,0.9183397247913376,0.27604871447902557
Tin,noncovered_control,2024-04-15,20,20,248.75,4433,0.0647271087054578,0.9729302955109408,0.19513759702354225
