metal,sourceISO,sourceDesc,flow_basis,primaryValue,netWgt,record_count,active_months,active_hs6,counterparty_observation_sum,source_primaryValue_share,period_end_included,source_rank_within_metal,metal_label,share_pct
aluminum,CHN,China,reported_import_partner_as_source,375398804738.02,96361750320.7816,848480,192,33,362204,0.089749670472,202512,1,Aluminium,8.9749670472
aluminum,DEU,Germany,reported_import_partner_as_source,321791762860.19745,103224967119.38228,612415,192,33,289008,0.076933395399,202512,2,Aluminium,7.6933395399
aluminum,RUS,Russian Federation,reported_import_partner_as_source,224079052022.14343,96588404168.31793,132420,192,33,67436,0.053572416387,202512,3,Aluminium,5.3572416387
aluminum,USA,USA,reported_import_partner_as_source,218843906441.27075,60723508812.28399,517926,192,33,259259,0.052320807205,202512,4,Aluminium,5.2320807205
aluminum,NLD,Netherlands,reported_import_partner_as_source,207648234212.27567,81747867368.36691,301066,192,33,153867,0.049644166043,202512,5,Aluminium,4.9644166043
copper,CHL,Chile,reported_import_partner_as_source,335722519043.48444,42756257202.11798,19888,192,49,12070,0.094111427204,202512,1,Copper,9.411142720399999
copper,DEU,Germany,reported_import_partner_as_source,271897018832.21936,37599180363.19912,749563,192,53,364126,0.076219541566,202512,2,Copper,7.6219541566
copper,RUS,Russian Federation,reported_import_partner_as_source,159578622668.55936,22739146862.175995,58156,192,52,35214,0.044733883129,202512,3,Copper,4.4733883129
copper,USA,USA,reported_import_partner_as_source,159534078509.15686,40987278127.868805,529307,192,56,276222,0.044721396286,202512,4,Copper,4.4721396286
copper,POL,Poland,reported_import_partner_as_source,147209099285.8652,19891344049.709,246634,192,50,113426,0.041266396043,202512,5,Copper,4.1266396043
lead,AUS,Australia,reported_import_partner_as_source,16439525150.319014,6244048665.738997,6124,192,8,5046,0.089500373038,202512,1,Lead,8.9500373038
lead,GBR,United Kingdom,reported_import_partner_as_source,15260182712.491016,6542385235.955,29373,192,8,17736,0.083079774684,202512,2,Lead,8.3079774684
lead,BEL,Belgium,reported_import_partner_as_source,12354178862.63102,5641448910.986003,18466,192,8,9877,0.067258853688,202512,3,Lead,6.7258853688
lead,DEU,Germany,reported_import_partner_as_source,10833319167.022997,5417533691.59601,44556,192,8,26899,0.058978960634,202512,4,Lead,5.8978960634
lead,KOR,Rep. of Korea,reported_import_partner_as_source,10178818246.207989,4257092756.877996,7758,192,8,5954,0.055415714371,202512,5,Lead,5.5415714371
nickel,RUS,Russian Federation,reported_import_partner_as_source,89597600666.35193,6247933023.473003,23782,192,17,12028,0.13517779581,202512,1,Nickel,13.517779581
nickel,CAN,Canada,reported_import_partner_as_source,88492944346.62215,5798742151.463016,36608,192,17,20766,0.133511177448,202512,2,Nickel,13.3511177448
nickel,USA,USA,reported_import_partner_as_source,68321006239.49795,2177540641.138,172563,192,17,82009,0.103077347633,202512,3,Nickel,10.3077347633
nickel,AUS,Australia,reported_import_partner_as_source,50445448158.459045,3335562367.177004,17082,192,17,11004,0.076108114949,202512,4,Nickel,7.610811494899999
nickel,IDN,Indonesia,reported_import_partner_as_source,42903586570.54302,5885074163.579002,6955,192,17,4438,0.064729548803,202512,5,Nickel,6.4729548803
tin,IDN,Indonesia,reported_import_partner_as_source,40664683931.64898,2224131086.96,13096,192,6,7224,0.278241937288,202512,1,Tin,27.8241937288
tin,PER,Peru,reported_import_partner_as_source,16898225988.042004,643832132.327,6512,192,5,2834,0.115623550488,202512,2,Tin,11.562355048799999
tin,BEL,Belgium,reported_import_partner_as_source,9941815011.311993,461677760.077,16699,192,6,8774,0.068025362586,202512,3,Tin,6.8025362586
tin,MYS,Malaysia,reported_import_partner_as_source,9916976768.566998,414484377.276,13023,192,7,9540,0.067855410674,202512,4,Tin,6.7855410674
tin,BOL,Bolivia (Plurinational State of),reported_import_partner_as_source,8652510364.126001,326644324.277,4690,192,5,2203,0.059203490925,202512,5,Tin,5.9203490924999995
zinc,ESP,Spain,reported_import_partner_as_source,37298062783.97103,19290176330.771976,39490,192,9,19390,0.097705140752,202512,1,Zinc,9.7705140752
zinc,BEL,Belgium,reported_import_partner_as_source,31352465500.258945,12128741736.184992,61347,192,9,31259,0.082130191918,202512,2,Zinc,8.2130191918
zinc,FIN,Finland,reported_import_partner_as_source,30115839671.779022,11349590145.422997,22374,192,9,10914,0.078890755561,202512,3,Zinc,7.8890755561
zinc,NLD,Netherlands,reported_import_partner_as_source,24360426431.482014,9666883835.542994,41276,192,9,21144,0.063814008439,202512,4,Zinc,6.3814008439
zinc,CAN,Canada,reported_import_partner_as_source,20811306872.440006,4903485268.926998,16308,192,9,10157,0.054516817106,202512,5,Zinc,5.4516817106
