benchmark,null_auc,null_family
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.4,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.225,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.225,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.675,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.825,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.725,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.4,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.4,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.225,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.45,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.275,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.275,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.175,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.175,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.325,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.325,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.0,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.775,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.45,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.45,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.275,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.175,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.325,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.675,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.825,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.725,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.4,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.4,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.225,exact_target_label_permutation
origin_endpoint_annual_mean_share,1.0,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.675,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.675,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.825,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.825,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.725,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.725,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.4,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.775,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.45,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.45,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.275,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.175,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.325,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.775,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.775,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.45,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.5,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.7,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.375,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.375,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.275,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.275,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.425,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.425,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.1,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.875,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.55,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.7,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.7,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.375,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.6,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.275,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.425,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.65,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.325,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.325,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.475,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.475,exact_target_label_permutation
origin_endpoint_annual_mean_share,0.15,exact_target_label_permutation
